tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,False,1994.0,,142.0,Drama,9.3,3011640
tt0468569,movie,The Dark Knight,The Dark Knight,False,2008.0,,152.0,"Action,Crime,Drama",9.0,2988517
tt1375666,movie,Inception,Inception,False,2010.0,,148.0,"Action,Adventure,Sci-Fi",8.8,2655850
tt0137523,movie,Fight Club,Fight Club,False,1999.0,,139.0,Drama,8.8,2434661
tt0109830,movie,Forrest Gump,Forrest Gump,False,1994.0,,142.0,"Drama,Romance",8.8,2354819
tt0110912,movie,Pulp Fiction,Pulp Fiction,False,1994.0,,154.0,"Crime,Drama",8.9,2309588
tt0816692,movie,Interstellar,Interstellar,False,2014.0,,169.0,"Adventure,Drama,Sci-Fi",8.7,2292493
tt0133093,movie,The Matrix,The Matrix,False,1999.0,,136.0,"Action,Sci-Fi",8.7,2134911
tt0068646,movie,The Godfather,The Godfather,False,1972.0,,175.0,"Crime,Drama",9.2,2101692
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False,2001.0,,178.0,"Adventure,Drama,Fantasy",8.9,2087852
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,False,2003.0,,201.0,"Adventure,Drama,Fantasy",9.0,2058986
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,False,2012.0,,164.0,"Action,Drama,Thriller",8.4,1895819
tt0114369,movie,Se7en,Se7en,False,1995.0,,127.0,"Crime,Drama,Mystery",8.6,1887426
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,False,2002.0,,179.0,"Adventure,Drama,Fantasy",8.8,1855446
tt1853728,movie,Django Unchained,Django Unchained,False,2012.0,,165.0,"Comedy,Drama,Western",8.5,1769246
tt0172495,movie,Gladiator,Gladiator,False,2000.0,,155.0,"Action,Adventure,Drama",8.5,1736844
tt0993846,movie,The Wolf of Wall Street,The Wolf of Wall Street,False,2013.0,,180.0,"Biography,Comedy,Crime",8.2,1663099
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,False,2009.0,,153.0,"Adventure,Drama,War",8.4,1660452
tt0372784,movie,Batman Begins,Batman Begins,False,2005.0,,140.0,"Action,Drama",8.2,1632293
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,False,1991.0,,118.0,"Crime,Drama,Horror",8.6,1616896
tt7286456,movie,Joker,Joker,False,2019.0,,122.0,"Crime,Drama,Thriller",8.3,1589188
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,False,1998.0,,169.0,"Drama,War",8.6,1554540
